LSOA,Disabled_Percentage
E01000967,11.3
E01000968,12.3
E01000969,9.6
E01000970,11
E01000971,12.5
E01000972,19.1
E01000973,13.2
E01000974,17.4
E01000975,12.9
E01000976,13.3
E01000977,18.4
E01000978,13.2
E01000979,12.2
E01000980,12.6
E01000981,13
E01000982,14
E01000983,11.4
E01000984,18.2
E01000985,13.2
E01000986,13.5
E01000987,14.4
E01000989,11.9
E01000990,23.2
E01000991,14.4
E01000992,18.4
E01000993,12.1
E01000994,13.5
E01000995,11.9
E01000996,14.1
E01000997,16
E01000998,14.2
E01000999,13.4
E01001000,11.8
E01001001,12.5
E01001002,10.9
E01001003,12.1
E01001004,12.3
E01001005,12
E01001006,13.3
E01001007,10.4
E01001008,14.4
E01001009,12.6
E01001010,15.9
E01001011,12.8
E01001012,13.2
E01001013,16.2
E01001015,17.4
E01001016,13.6
E01001017,12.6
E01001018,12.7
E01001019,12.9
E01001020,12.8
E01001021,21.1
E01001022,15.7
E01001023,13.8
E01001024,13
E01001025,9.6
E01001026,13.1
E01001027,9.6
E01001028,13.8
E01001029,16.1
E01001030,12
E01001031,10.7
E01001032,14.7
E01001033,11
E01001034,11.5
E01001035,16.6
E01001036,16
E01001037,13.1
E01001038,13.9
E01001039,11.5
E01001040,11
E01001041,12.4
E01001042,12.4
E01001044,14.3
E01001046,10.3
E01001047,13.7
E01001049,11.4
E01001050,16
E01001051,19.3
E01001052,20.5
E01001053,17.1
E01001054,17.2
E01001055,20.6
E01001056,17
E01001057,17.1
E01001058,14.4
E01001059,16
E01001060,14.5
E01001061,16.8
E01001062,13.2
E01001063,13.1
E01001064,14.2
E01001065,16.4
E01001066,18.9
E01001067,14.1
E01001068,12.7
E01001069,13.8
E01001070,13.9
E01001071,12.3
E01001072,16.1
E01001073,13.5
E01001074,15.2
E01001075,12
E01001076,19
E01001077,14
E01001078,19.8
E01001079,19.3
E01001080,28.4
E01001081,17.4
E01001082,16.8
E01001083,13.3
E01001084,13.2
E01001085,14
E01001086,14.6
E01001087,15.4
E01001088,10.9
E01001089,13
E01001090,13.1
E01001091,11.8
E01001092,19.2
E01001093,12.7
E01001094,13.8
E01001095,11.4
E01001096,11.4
E01001097,16.8
E01001098,12.1
E01001099,14.8
E01001100,12.1
E01001101,10.5
E01001102,15.6
E01001103,16.7
E01001104,12.8
E01001105,15.2
E01001106,15.9
E01001107,12.8
E01001108,11.7
E01001109,17.1
E01001110,14.5
E01001111,11.9
E01001112,14.8
E01001113,11.5
E01001114,13.8
E01001115,15.4
E01001116,14.4
E01001118,16.2
E01001119,13.1
E01001120,14.3
E01001121,14.6
E01001122,12.6
E01001123,11.6
E01001124,14
E01001125,15.3
E01001126,14.6
E01001127,12.1
E01001128,15.2
E01001129,13.9
E01001130,14.2
E01001131,12.7
E01001132,16.1
E01001133,18.8
E01001134,12.9
E01001135,15.2
E01001136,15.4
E01001137,13.8
E01001138,13.7
E01001139,12.8
E01001140,13.3
E01001141,14.8
E01001142,12.5
E01001143,15.2
E01001144,15.2
E01001145,15.9
E01001146,12.9
E01001147,13.9
E01001148,13.2
E01001149,12.3
E01001150,11.8
E01001151,16.2
E01001152,12.2
E01001153,13.3
E01001154,10.5
E01001155,20.7
E01001156,16.7
E01001157,11.6
E01001158,13.8
E01001159,12.4
E01001160,13
E01001161,18.7
E01001162,13.9
E01001163,13.1
E01001164,12.7
E01001165,11.9
E01001166,16.3
E01001167,12.3
E01001168,12.7
E01001169,16.3
E01001170,17
E01001171,19.9
E01001172,16.7
E01001173,13.7
E01001174,12.8
E01001175,13.4
E01001176,12.5
E01001177,13.6
E01001178,17.8
E01001179,12.1
E01001180,9.9
E01001181,14.4
E01001182,12.2
E01001183,12.1
E01001184,12.7
E01001185,12.9
E01001186,15.5
E01001187,13.8
E01001188,15
E01001189,12.4
E01001190,12.6
E01001191,13.3
E01001192,14.2
E01001193,17.3
E01001194,10.2
E01001195,9.6
E01001196,15.5
E01001197,13.6
E01001198,10.8
E01001199,12.5
E01001200,12.7
E01001201,13.1
E01001202,12.3
E01001203,16.8
E01001204,12.1
E01001205,15.8
E01001206,11.2
E01001207,8.9
E01001208,10.1
E01001209,11.4
E01001210,18
E01001211,11.7
E01001212,18.3
E01001213,15.7
E01001214,13.2
E01001215,14
E01001216,12.9
E01001217,11.4
E01001218,13.7
E01001219,17.3
E01001220,15.1
E01001223,11.7
E01001224,9.4
E01001225,12
E01001226,12.8
E01001227,10
E01001228,11.1
E01001229,15.2
E01001230,12.4
E01001231,11.2
E01001232,15.1
E01001233,14.3
E01001234,11.7
E01001235,13
E01001236,13.6
E01001237,15.3
E01001239,14.4
E01001240,13.3
E01001241,11.3
E01001242,14.2
E01001243,10.5
E01001244,12.2
E01001245,8.5
E01001246,11.9
E01001247,12.2
E01001248,15.6
E01001249,15.7
E01001250,17.6
E01001251,11
E01001252,11.8
E01001253,10.2
E01001254,12.5
E01001255,9.8
E01001257,14.6
E01001258,10.7
E01001259,11
E01001260,12.2
E01001261,13.5
E01001262,17.4
E01001263,14.3
E01001264,14.9
E01001265,11.1
E01001266,11.6
E01001267,15.7
E01001268,12
E01001269,9.9
E01001270,10.3
E01001271,10.2
E01001272,13.5
E01001273,11
E01001274,7.3
E01001275,13.8
E01001276,11.5
E01001277,10.4
E01001278,11.1
E01001279,10.1
E01001280,12.9
E01001281,12.1
E01001282,17.9
E01001283,19.1
E01001284,12.8
E01001285,12.8
E01001286,12.6
E01001287,12.4
E01001288,13.1
E01001289,11.6
E01001290,12
E01001291,11.6
E01001292,11.6
E01001293,13.2
E01001294,9.5
E01001295,10.4
E01001296,13.1
E01001297,13.3
E01001298,15.2
E01001299,11.5
E01001300,11.7
E01001301,11
E01001302,12.1
E01001303,10.7
E01001304,9.8
E01001305,10.7
E01001306,10.2
E01001307,9
E01001308,12.5
E01001309,8.4
E01001310,9.1
E01001311,13.3
E01001312,10.2
E01001313,10.8
E01001314,10.4
E01001315,10.8
E01001316,13.1
E01001317,11.9
E01001318,14.5
E01001319,10.9
E01001320,13.5
E01001321,14
E01001322,13.5
E01001323,10.6
E01001324,13.1
E01001325,14.2
E01001326,12.2
E01001327,12.2
E01001328,11.9
E01001329,12.5
E01001330,15.4
E01001331,12.5
E01001332,13.7
E01001333,13.7
E01001334,13.6
E01001335,12.6
E01001336,14.2
E01001337,12.2
E01001338,14.8
E01001339,12.5
E01001340,18
E01001341,11.2
E01001342,10.4
E01001343,11.7
E01001344,11.6
E01001345,11.8
E01001346,11.3
E01001347,10.3
E01001348,11.5
E01001349,16.4
E01001350,12
E01001351,14.3
E01001352,9.6
E01001353,14.1
E01001354,16
E01001355,13.8
E01001356,16.2
E01001357,10.1
E01001358,10.7
E01001359,10.8
E01001360,11.3
E01001361,10.6
E01001362,10.9
E01001363,10.1
E01001364,15.3
E01001365,12.7
E01001366,10.7
E01001367,9.4
E01001368,12.1
E01001369,10.4
E01001370,9.7
E01001371,11.5
E01001372,8.6
E01001373,9.6
E01001374,10.5
E01001375,8.2
E01001376,12
E01001377,9.3
E01001379,8
E01001380,8.6
E01001381,8.4
E01001382,10.7
E01001383,11.7
E01001384,8.9
E01001385,9.5
E01001386,11.5
E01001387,13.7
E01001388,16.3
E01001389,11.8
E01001390,12.7
E01001391,13.1
E01001392,12.9
E01001393,11.7
E01001394,13
E01001395,15.6
E01001396,11.2
E01001397,11.8
E01001398,12
E01001399,11.3
E01001400,19
E01001401,9.8
E01001402,12.4
E01001403,12.3
E01001404,13.4
E01001405,19.7
E01001406,13.3
E01001407,14.6
E01001408,13.5
E01001409,14
E01001410,18.3
E01001411,12.5
E01001412,16.6
E01001413,16.9
E01001414,19
E01001415,12.5
E01001416,10.4
E01001417,10.3
E01001418,17.2
E01001419,14.9
E01001420,17.6
E01001421,16.6
E01001422,11.6
E01001423,15.9
E01001424,15.1
E01001425,13.6
E01001426,14.8
E01001427,16.2
E01001428,15
E01001429,18.2
E01001430,13.6
E01001431,12.2
E01001432,15.1
E01001433,14.4
E01001434,11.6
E01001435,12.9
E01001436,15.4
E01001437,15.7
E01001438,15.2
E01001439,16
